module|xml_name|group_id_15|group_name_15|group_id_19|group_name_19|status
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_usuario|69|Técnicos|63|Técnicos|EXISTE_19
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_legal|70|Acción Legal|64|Acción Legal|EXISTE_19
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_responsable|71|Responsable|65|Responsable|EXISTE_19
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_admin|72|Administrador|66|Administrador|EXISTE_19
sicpro_app_metrologia|grupo_app_metrologia_usuario|77|Usuarios|86|Usuarios|EXISTE_19
sicpro_app_metrologia|grupo_app_metrologia_ejecutor|78|Ejecutor|87|Ejecutor|EXISTE_19
sicpro_app_metrologia|grupo_app_metrologia_responsable|79|Responsable|88|Responsable|EXISTE_19
sicpro_app_metrologia|grupo_app_metrologia_admin|80|Administrador|89|Administrador|EXISTE_19
sicpro_app_reuniones|group_reuniones_usuario|81|Usuario|95|Usuario|EXISTE_19
sicpro_app_reuniones|group_reuniones_secretaria|82|Secretaria|96|Secretaria|EXISTE_19
sicpro_app_reuniones|group_reuniones_director|83|Director|97|Director|EXISTE_19
sicpro_app_reuniones|group_reuniones_responsable|84|Responsable|98|Responsable|EXISTE_19
sicpro_app_reuniones|group_reuniones_admin|85|Administrator|99|Administrator|EXISTE_19
sicpro_app_solicitudes|grupo_app_solicitud_usuario|86|Usuarios|141|Usuarios|EXISTE_19
sicpro_app_solicitudes|grupo_app_solicitud_responsable|88|Responsable|143|Responsable|EXISTE_19
sicpro_app_solicitudes|grupo_app_solicitud_admin|89|Administrador|144|Administrador|EXISTE_19
sicpro_app_solicitudes|grupo_app_iniciativas_ejecutor|90|Ejecutor|145|Ejecutor|EXISTE_19
sicpro_app_solicitudes|grupo_app_negocio_ejecutor|91|Ejecutor|147|Ejecutor|EXISTE_19
sicpro_app_solicitudes|grupo_app_negocio_pg_ejecutor|92|Ejecutor|148|Ejecutor|EXISTE_19
sicpro_app_solicitudes|grupo_app_ejecutor_ejecutor|93|Ejecutor|149|Ejecutor|EXISTE_19
sicpro_app_solicitudes|grupo_app_grupos_ejecutor|94|Responsable|151|Responsable|EXISTE_19
sicpro_app_transporte|grupo_app_transporte_usuario|95|Usuarios|113|Usuarios|EXISTE_19
sicpro_app_credenciales|grupo_app_credenciales_ejecutor|178|Técnicos|77|Técnicos|EXISTE_19
sicpro_app_credenciales|grupo_app_credenciales_responsable|179|Responsable|78|Responsable|EXISTE_19
sicpro_app_credenciales|grupo_app_credenciales_admin|180|Administrador|79|Administrador|EXISTE_19
sicpro_app_cmi|grupo_app_cmi_usuario|181|Usuarios|46|Usuarios|EXISTE_19
sicpro_app_cmi|grupo_app_cmi_ejecutor|182|Ejecutor|47|Ejecutor|EXISTE_19
sicpro_app_cmi|grupo_app_cmi_responsable|183|Responsable|48|Responsable|EXISTE_19
sicpro_app_cmi|grupo_app_cmi_admin|184|Administrador|49|Administrador|EXISTE_19
nucleo_sicpro_erp|grupo_readonly_admin|192|Acceso a Readonly Avanzada|||NO_EXISTE_19
sicpro_app_administracion|grupo_canal_inversiones|193|Canal de Inversiones|23|Canal de Inversiones|EXISTE_19
sicpro_app_salon_clases|grupo_app_salon_clases_usuario|195|Usuario|38|Usuario|EXISTE_19
sicpro_app_transporte|grupo_app_transporte_piquera_usuario|197|Usuarios|117|Usuarios|EXISTE_19
mass_mailing|group_mass_mailing_user|199|User|||NO_EXISTE_19
sicpro_modulo_usuario_simular|group_user_simulation|201|Administrador|||NO_EXISTE_19
sicpro_app_rest_api|grupo_app_api_rest_admin|202|Administrador|||NO_EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_usuario|215|Usuario|100|Usuario|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_ejecutor_servicios|216|Ejecutor de Servicios|101|Ejecutor de Servicios|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_ejecutor_interno|217|Ejecutor Corporativo|102|Ejecutor Corporativo|EXISTE_19
sicpro_app_servicios_internos|grupo_app_internos_admin|218|Administrador|104|Administrador|EXISTE_19
sicpro_app_ordenes_trabajo|grupo_ordenes_visualizar_proceso|230|Visualizar órdenes del Proceso|152|Visualizar órdenes del Proceso|EXISTE_19
sicpro_app_ordenes_trabajo|grupo_ordenes_visualizar_todo|231|Visualizar Todas las órdenes|153|Visualizar Todas las órdenes|EXISTE_19
sicpro_app_ordenes_trabajo|grupo_ordenes_responsable|232|Responsable|154|Responsable|EXISTE_19
sicpro_app_ordenes_trabajo|grupo_ordenes_admin|233|Administrador|155|Administrador|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_inventario_usuario|248|Visualizar|80|Visualizar|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_inventario_tecnico|249|Técnico|81|Técnico|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_responsable|250|Responsable|82|Responsable|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_admin|251|Administrador|83|Administrador|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_taller_usuario|252|Visualizar|84|Visualizar|EXISTE_19
sicpro_app_medios_informaticos|grupo_app_medios_informaticos_taller_tecnico|253|Técnico|85|Técnico|EXISTE_19
sicpro_app_instrucciones|grupo_app_instruciones_usuario|260|Usuarios|130|Usuarios|EXISTE_19
sicpro_app_instrucciones|grupo_app_instruciones_responsable|261|Instructor|131|Instructor|EXISTE_19
sicpro_app_instrucciones|grupo_app_instruciones_admin|262|Administrador|132|Administrador|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_visualizar|263|Visualizar todas las Transferencias|161|Visualizar todas las Transferencias|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_visualizar_proceso|264|Visualizar por Procesos|163|Visualizar por Procesos|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_inversionistas|265|Gestión del Inversionista|162|Gestión del Inversionista|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_ejecutores_procesos|266|Gestión del Ejecutor|164|Gestión del Ejecutor|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_dtp_procesos|267|Gestión del Técnico Productivo|165|Gestión del Técnico Productivo|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_economia|268|Gestión Económica|166|Gestión Económica|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_responsable|269|Responsable|167|Responsable|EXISTE_19
sicpro_app_transferencias_gastos|grupo_transferencias_admin|270|Administrador|168|Administrador|EXISTE_19
