analytic|group_analytic_accounting|27|Contabilidad analítica
sicpro_app_programa_viviendas|grupo_app_vivienda_visualizar|134|Usuario
sicpro_app_repositorio_institucional|group_repositorio_institucional_admin|94|Administrador
sicpro_app_repositorio_institucional|group_repositorio_institucional_creador|91|Creador
sicpro_app_repositorio_institucional|group_repositorio_institucional_responsable|93|Responsable
sicpro_app_repositorio_institucional|group_repositorio_institucional_user|90|Usuario
sicpro_app_repositorio_institucional|group_repositorio_institucional_validar|92|Validación
sicpro_app_reuniones|group_reuniones_admin|99|Administrator
sicpro_app_reuniones|group_reuniones_director|97|Director
sicpro_app_reuniones|group_reuniones_responsable|98|Responsable
sicpro_app_reuniones|group_reuniones_secretaria|96|Secretaria
sicpro_app_reuniones|group_reuniones_usuario|95|Usuario
sicpro_app_salon_clases|grupo_app_salon_clases_admin|40|Administrador
sicpro_app_salon_clases|grupo_app_salon_clases_responsable|39|Responsable
sicpro_app_salon_clases|grupo_app_salon_clases_usuario|38|Usuario
sicpro_app_servicios_internos|grupo_app_internos_admin|104|Administrador
sicpro_app_servicios_internos|grupo_app_internos_ejecutor_interno|102|Ejecutor Corporativo
sicpro_app_servicios_internos|grupo_app_internos_ejecutor_servicios|101|Ejecutor de Servicios
sicpro_app_servicios_internos|grupo_app_internos_responsable|103|Responsable
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_ejecutor|106|Ejecutor de Solicitud
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_revision|107|Revisión de Solicitud
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_usuario|105|Usuario
sicpro_app_servicios_internos|grupo_app_internos_solicitudes_validar|108|Validación de Solicitud
sicpro_app_servicios_internos|grupo_app_internos_usuario|100|Usuario
sicpro_app_solicitudes|grupo_app_ejecutor_ejecutor|149|Ejecutor
sicpro_app_solicitudes|grupo_app_grupos_ejecutante|150|Ejecutante
sicpro_app_solicitudes|grupo_app_grupos_ejecutor|151|Responsable
sicpro_app_solicitudes|grupo_app_iniciativas_ejecutor|145|Ejecutor
sicpro_app_solicitudes|grupo_app_iniciativas_territorios|146|Territorial
sicpro_app_solicitudes|grupo_app_negocio_ejecutor|147|Ejecutor
sicpro_app_solicitudes|grupo_app_negocio_pg_ejecutor|148|Ejecutor
sicpro_app_solicitudes|grupo_app_solicitud_admin|144|Administrador
sicpro_app_solicitudes|grupo_app_solicitud_responsable|143|Responsable
sicpro_app_solicitudes|grupo_app_solicitud_usuario|141|Usuarios
sicpro_app_solicitudes|grupo_app_solicitud_usuario_vertodo|142|Administrativos
sicpro_app_soporte|group_soporte_admin|111|Administrador
sicpro_app_soporte|group_soporte_ejecutor|109|Ejecutor
sicpro_app_soporte|group_soporte_responsable|110|Responsable
sicpro_app_soporte|group_soporte_todos|112|Visualizar Todos los Tickets de Soporte
sicpro_app_trabajadores|grupo_app_trabajador_admin|58|Administrador
sicpro_app_trabajadores|grupo_app_trabajador_capacitacion|67|Capacitador
sicpro_app_trabajadores|grupo_app_trabajador_capacitacion_responsable|68|Responsable
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_admin|66|Administrador
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_jefe|62|Jefe del Proceso
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_legal|64|Acción Legal
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_responsable|65|Responsable
sicpro_app_trabajadores|grupo_app_trabajador_disciplina_usuario|63|Técnicos
sicpro_app_trabajadores|grupo_app_trabajador_ejecutor|56|Técnicos
sicpro_app_trabajadores|grupo_app_trabajador_equipos_admin|61|Administrador
sicpro_app_trabajadores|grupo_app_trabajador_equipos_responsable|60|Responsable
