areas_cierre_wizard_rel|areas_id|sicpro_app_trabajadores_cierre_wizard|id|areas_cierre_wizard_rel_areas_id_fkey
sicpro_app_contratos_cuentas|write_uid|res_users|id|sicpro_app_contratos_cuentas_write_uid_fkey
sicpro_app_contratos_dias|create_uid|res_users|id|sicpro_app_contratos_dias_create_uid_fkey
sicpro_app_contratos_dias|write_uid|res_users|id|sicpro_app_contratos_dias_write_uid_fkey
sicpro_app_contratos_economia_acapite|create_uid|res_users|id|sicpro_app_contratos_economia_acapite_create_uid_fkey
sicpro_app_contratos_economia_acapite|write_uid|res_users|id|sicpro_app_contratos_economia_acapite_write_uid_fkey
sicpro_app_contratos_economia_bancos|create_uid|res_users|id|sicpro_app_contratos_economia_bancos_create_uid_fkey
sicpro_app_contratos_economia_bancos|municipios_id|res_municipality|id|sicpro_app_contratos_economia_bancos_municipios_id_fkey
sicpro_app_contratos_economia_bancos|provincia_id|res_country_state|id|sicpro_app_contratos_economia_bancos_provincia_id_fkey
sicpro_app_contratos_economia_bancos|write_uid|res_users|id|sicpro_app_contratos_economia_bancos_write_uid_fkey
sicpro_app_contratos_economia_cuentas_dvpe|create_uid|res_users|id|sicpro_app_contratos_economia_cuentas_dvpe_create_uid_fkey
sicpro_app_contratos_economia_cuentas_dvpe|moneda|res_currency|id|sicpro_app_contratos_economia_cuentas_dvpe_moneda_fkey
sicpro_app_contratos_economia_cuentas_dvpe|write_uid|res_users|id|sicpro_app_contratos_economia_cuentas_dvpe_write_uid_fkey
sicpro_app_contratos_economia_estados|create_uid|res_users|id|sicpro_app_contratos_economia_estados_create_uid_fkey
sicpro_app_contratos_economia_estados|write_uid|res_users|id|sicpro_app_contratos_economia_estados_write_uid_fkey
sicpro_app_contratos_economia_etiquetas_rel|sicpro_app_contratos_economia_etiquetas_id|sicpro_app_contratos_economia_etiquetas|id|sicpro_app_contratos_economi_sicpro_app_contratos_economi_fkey1
sicpro_app_contratos_economia_etiquetas_rel|sicpro_app_contratos_economia_id|sicpro_app_contratos_economia|id|sicpro_app_contratos_economia_sicpro_app_contratos_economi_fkey
sicpro_app_contratos_economia_etiquetas|create_uid|res_users|id|sicpro_app_contratos_economia_etiquetas_create_uid_fkey
sicpro_app_contratos_economia_etiquetas|write_uid|res_users|id|sicpro_app_contratos_economia_etiquetas_write_uid_fkey
sicpro_app_contratos_economia_facturas|create_uid|res_users|id|sicpro_app_contratos_economia_facturas_create_uid_fkey
sicpro_app_contratos_economia_facturas|economia|sicpro_app_contratos_economia|id|sicpro_app_contratos_economia_facturas_economia_fkey
sicpro_app_contratos_economia_facturas|factura_Proveedor|sicpro_app_contratos_proveedores|id|sicpro_app_contratos_economia_facturas_factura_Proveedor_fkey
sicpro_app_contratos_economia_facturas|factura_tipo_moneda|res_currency|id|sicpro_app_contratos_economia_facturas_factura_tipo_moneda_fkey
sicpro_app_contratos_economia_facturas|message_main_attachment_id|ir_attachment|id|sicpro_app_contratos_economia_f_message_main_attachment_id_fkey
sicpro_app_contratos_economia_facturas|name|sicpro_app_contratos|id|sicpro_app_contratos_economia_facturas_name_fkey
sicpro_app_contratos_economia_facturas|write_uid|res_users|id|sicpro_app_contratos_economia_facturas_write_uid_fkey
