modelo|tabla|filas15|estado|modulos|transient
sicpro.modulo.plantilla.acceso|sicpro_modulo_plantilla_acceso|280|MODELO_SOLO_15|sicpro_modulo_plantilla_acceso,sicpro_modulo_plantilla_acceso_soporte_bitacora,sicpro_modulo_web_registro|f
sicpro.modulo.plantilla.acceso.roles|sicpro_modulo_plantilla_acceso_roles|2201|MODELO_SOLO_15|sicpro_modulo_plantilla_acceso|f
sicpro.modulo.roles|sicpro_modulo_roles|131|MODELO_SOLO_15|sicpro_modulo_roles,sicpro_modulo_usuario_desactivar,sicpro_modulo_web_registro|f
sicpro.modulo.roles.line|sicpro_modulo_roles_line|2866|MODELO_SOLO_15|sicpro_modulo_roles|f
sicpro.modulo.web.about|sicpro_modulo_web_about|1|MODELO_SOLO_15|sicpro_modulo_web|f
sicpro.modulo.web.automatiza|sicpro_modulo_web_automatiza|2|MODELO_SOLO_15|sicpro_modulo_web_automatiza|f
sicpro.modulo.web.galeria.etiquetas|sicpro_modulo_web_galeria_etiquetas|3|MODELO_SOLO_15|sicpro_modulo_web|f
sicpro.modulo.web.plugins|sicpro_modulo_web_plugins|9|MODELO_SOLO_15|sicpro_modulo_web_plugins|f
sicpro.modulo.web.registro.version|sicpro_modulo_web_registro_version|16|MODELO_SOLO_15|sicpro_modulo_web_versiones|f
sicpro.modulo.web.registro.versiones|sicpro_modulo_web_registro_versiones|53|MODELO_SOLO_15|sicpro_modulo_web_versiones|f
sicpro.querydb|sicpro_querydb|3|MODELO_SOLO_15|sicpro_modulo_querydb|f
