 user_id |     login      | active |                      table_name                       |            column_name            | estructura 
       1 | __system__     | f      | sicpro_app_contratos                                  | user_id                           |          1
       1 | __system__     | f      | sicpro_app_contratos_economia                         | solicitud_persona_solicita        |          1
       1 | __system__     | f      | sicpro_app_contratos_economia                         | user_id                           |          1
       1 | __system__     | f      | sicpro_app_contratos_proveedores                      | user_id                           |          1
       1 | __system__     | f      | sicpro_app_credenciales                               | user_id                           |          1
       1 | __system__     | f      | sicpro_app_credenciales                               | usuario                           |          1
       1 | __system__     | f      | sicpro_app_grupo_ejecutor_horizontal                  | solicitante_solicitud_horizontal  |          1
       1 | __system__     | f      | sicpro_app_instrucciones_instruccion                  | user_id                           |          1
       1 | __system__     | f      | sicpro_app_instrucciones_trabajador                   | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo                            | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_anexo3                     | certifica                         |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_anexo_problemas            | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_equipos_complementarios    | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_equipos_especializados     | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_trabajadores               | user_id                           |          1
       1 | __system__     | f      | sicpro_app_ordenes_trabajo_transporte                 | user_id                           |          1
       1 | __system__     | f      | sicpro_app_reuniones                                  | organizador_id                    |          1
       1 | __system__     | f      | sicpro_app_reuniones                                  | responsable                       |          1
       1 | __system__     | f      | sicpro_app_reuniones                                  | user_id                           |          1
       1 | __system__     | f      | sicpro_app_reuniones_despachos                        | organizador_id                    |          1
       1 | __system__     | f      | sicpro_app_reuniones_despachos                        | responsable                       |          1
       1 | __system__     | f      | sicpro_app_reuniones_despachos                        | user_id                           |          1
       1 | __system__     | f      | sicpro_app_reuniones_despachos_participantes          | name                              |          1
       1 | __system__     | f      | sicpro_app_reuniones_participantes                    | name                              |          1
       1 | __system__     | f      | sicpro_app_salon_clases                               | user_id                           |          1
       1 | __system__     | f      | sicpro_app_salon_clases_temas                         | user_id                           |          1
       1 | __system__     | f      | sicpro_app_servicios_internos_correos                 | user_id                           |          1
       1 | __system__     | f      | sicpro_app_servicios_internos_fijos                   | user_id                           |          1
       1 | __system__     | f      | sicpro_app_servicios_internos_lineas                  | user_id                           |          1
       1 | __system__     | f      | sicpro_app_servicios_internos_nauta                   | user_id                           |          1
       1 | __system__     | f      | sicpro_app_solicitudes_oportunidades                  | solicitante_solicitud_horizontal  |          1
       1 | __system__     | f      | sicpro_app_solicitudes_oportunidades                  | user_id                           |          1
       1 | __system__     | f      | sicpro_app_solicitudes_tabla_oportunidades            | solicitante_solicitud_horizontal  |          1
       1 | __system__     | f      | sicpro_app_solicitudes_tabla_oportunidades            | user_id                           |          1
       1 | __system__     | f      | sicpro_app_soporte                                    | partner_user_id                   |          1
       1 | __system__     | f      | sicpro_app_soporte                                    | user_id                           |          1
       1 | __system__     | f      | sicpro_app_soporte_bitacora                           | ejecutor                          |          1
       1 | __system__     | f      | sicpro_app_soporte_bitacora                           | usuario                           |          1
       1 | __system__     | f      | sicpro_app_soporte_cronograma_anio                    | user_id                           |          1
       1 | __system__     | f      | sicpro_app_soporte_cronograma_plan                    | jefe_proyecto                     |          1
       1 | __system__     | f      | sicpro_app_soporte_fragmentos_codigos                 | user_id                           |          1
       1 | __system__     | f      | sicpro_app_soporte_tareas                             | user_id                           |          1
       1 | __system__     | f      | sicpro_app_soporte_todos                              | partner_user_id                   |          1
       1 | __system__     | f      | sicpro_app_soporte_todos                              | user_id                           |          1
       1 | __system__     | f      | sicpro_app_trabajadores                               | user_id                           |          1
       1 | __system__     | f      | sicpro_app_trabajadores_cierre_historial              | usuario                           |          1
       1 | __system__     | f      | sicpro_app_trabajadores_disiplinaria_acciones         | user_id                           |          1
       1 | __system__     | f      | sicpro_app_trabajadores_equipo_tecnico                | user_id                           |          1
       1 | __system__     | f      | sicpro_app_transferencias_gastos                      | user_id                           |          1
       1 | __system__     | f      | sicpro_app_transferencias_gastos_ordenes              | user_id                           |          1
       1 | __system__     | f      | sicpro_app_transporte_piquera                         | rechaza                           |          1
       1 | __system__     | f      | sicpro_app_transporte_piquera                         | solicitado                        |          1
       1 | __system__     | f      | sicpro_app_transporte_piquera                         | solicitante                       |          1
       1 | __system__     | f      | sicpro_app_videoconferencias_usuarioexterno           | usuario                           |          1
       1 | __system__     | f      | sicpro_app_vivienda_fondo                             | user_id                           |          1
