14|Canned Response Administrator|3|Canned Responses|19|Marketing||mail.group_mail_canned_response_admin
144|Administrador|44|Solicitudes|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_solicitud_admin
145|Ejecutor|45|Inversionistas|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_iniciativas_ejecutor
146|Territorial|45|Inversionistas|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_iniciativas_territorios
147|Ejecutor|46|Negociación|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_negocio_ejecutor
148|Ejecutor|47|Revisión del Negocio|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_negocio_pg_ejecutor
149|Ejecutor|48|Distribuidores|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_ejecutor_ejecutor
150|Ejecutante|49|Especialista Ejecutor|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_grupos_ejecutante
151|Responsable|49|Especialista Ejecutor|101|Solicitudes de Obras||sicpro_app_solicitudes.grupo_app_grupos_ejecutor
50|Usuarios|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_usuario
51|Ejecutor|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_ejecutor
52|Responsable|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_responsable
53|Administrador|16|Materiales e Insumos|102|Preparación Técnica||sicpro_app_materiales_insumos.grupo_app_materiales_insumos_admin
152|Visualizar órdenes del Proceso|50|Usuarios Internos|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_visualizar_proceso
153|Visualizar Todas las órdenes|50|Usuarios Internos|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_visualizar_todo
154|Responsable|50|Usuarios Internos|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_responsable
155|Administrador|50|Usuarios Internos|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_admin
156|Visualizar órdenes personales|51|Inversionista|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_visualizar_inversionista
157|Visualizar todas las órdenes Inversionistas|51|Inversionista|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_visualizar_inversionista_todo
158|Solicitar Orden|52|Ejecución|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_solicitante
159|Validar Orden|52|Ejecución|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_validar
160|Crear Orden|52|Ejecución|103|Órdenes de Trabajo||sicpro_app_ordenes_trabajo.grupo_ordenes_ejecutor
161|Visualizar todas las Transferencias|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_visualizar
162|Gestión del Inversionista|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_inversionistas
163|Visualizar por Procesos|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_visualizar_proceso
164|Gestión del Ejecutor|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_ejecutores_procesos
165|Gestión del Técnico Productivo|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_dtp_procesos
166|Gestión Económica|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_economia
167|Responsable|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_responsable
168|Administrador|53|Transferencias|104|Gestión de Gastos||sicpro_app_transferencias_gastos.grupo_transferencias_admin
95|Usuario|31|Reuniones|105|Gestión de Reuniones||sicpro_app_reuniones.group_reuniones_usuario
96|Secretaria|31|Reuniones|105|Gestión de Reuniones||sicpro_app_reuniones.group_reuniones_secretaria
97|Director|31|Reuniones|105|Gestión de Reuniones||sicpro_app_reuniones.group_reuniones_director
98|Responsable|31|Reuniones|105|Gestión de Reuniones||sicpro_app_reuniones.group_reuniones_responsable
99|Administrator|31|Reuniones|105|Gestión de Reuniones||sicpro_app_reuniones.group_reuniones_admin
86|Usuarios|29|Metrología|106|Activos y Herramientas||sicpro_app_metrologia.grupo_app_metrologia_usuario
87|Ejecutor|29|Metrología|106|Activos y Herramientas||sicpro_app_metrologia.grupo_app_metrologia_ejecutor
88|Responsable|29|Metrología|106|Activos y Herramientas||sicpro_app_metrologia.grupo_app_metrologia_responsable
89|Administrador|29|Metrología|106|Activos y Herramientas||sicpro_app_metrologia.grupo_app_metrologia_admin
36|Usuario|10|Gestor Documental|107|Servicios Corporativos||sicpro_app_gestor_documental.group_document_user
37|Ejecutor|10|Gestor Documental|107|Servicios Corporativos||sicpro_app_gestor_documental.group_document_manager
38|Usuario|11|Salón de Clases|107|Servicios Corporativos||sicpro_app_salon_clases.grupo_app_salon_clases_usuario
39|Responsable|11|Salón de Clases|107|Servicios Corporativos||sicpro_app_salon_clases.grupo_app_salon_clases_responsable
40|Administrador|11|Salón de Clases|107|Servicios Corporativos||sicpro_app_salon_clases.grupo_app_salon_clases_admin
90|Usuario|30|Repositorio DVPE.|107|Servicios Corporativos||sicpro_app_repositorio_institucional.group_repositorio_institucional_user
91|Creador|30|Repositorio DVPE.|107|Servicios Corporativos||sicpro_app_repositorio_institucional.group_repositorio_institucional_creador
92|Validación|30|Repositorio DVPE.|107|Servicios Corporativos||sicpro_app_repositorio_institucional.group_repositorio_institucional_validar
93|Responsable|30|Repositorio DVPE.|107|Servicios Corporativos||sicpro_app_repositorio_institucional.group_repositorio_institucional_responsable
94|Administrador|30|Repositorio DVPE.|107|Servicios Corporativos||sicpro_app_repositorio_institucional.group_repositorio_institucional_admin
100|Usuario|32|Servicios Internos|107|Servicios Corporativos||sicpro_app_servicios_internos.grupo_app_internos_usuario
